data,produto,categoria,regiao,vendedor,quantidade,preco_unitario,total
2025-02-07,Cadeira,Moveis,Sul,Elaine,1,682.8,682.8
2025-02-09,Notebook,Eletronicos,Sudeste,Elaine,5,3189.82,15949.1
2025-02-09,Monitor,Eletronicos,Nordeste,Ana,3,990.0,2970.0
2025-02-09,Mouse,Acessorios,Norte,Ana,6,80.41,482.46
2025-02-09,Teclado,Acessorios,Nordeste,Bruno,7,157.57,1102.99
2025-02-10,Webcam,Acessorios,Norte,Carla,7,201.45,1410.15
2025-02-10,Cadeira,Moveis,Centro-Oeste,Elaine,7,742.16,5195.12
2025-02-10,Monitor,Eletronicos,Nordeste,Bruno,5,872.28,4361.4
2025-02-10,Teclado,Acessorios,Norte,Bruno,5,143.32,716.6
2025-02-12,Notebook,Eletronicos,Centro-Oeste,Bruno,1,3784.85,3784.85
2025-02-13,Notebook,Eletronicos,Centro-Oeste,Ana,2,3318.61,6637.22
2025-02-13,Cadeira,Moveis,Sul,Diego,4,707.81,2831.24
2025-02-14,Notebook,Eletronicos,Centro-Oeste,Ana,6,3464.81,20788.86
2025-02-15,Mesa,Moveis,Norte,Bruno,1,430.69,430.69
2025-02-17,Webcam,Acessorios,Centro-Oeste,Carla,1,190.04,190.04
2025-02-19,Cadeira,Moveis,Sul,Elaine,2,769.43,1538.86
2025-02-20,Cadeira,Moveis,Sudeste,Elaine,7,693.52,4854.64
2025-02-21,Notebook,Eletronicos,Centro-Oeste,Ana,6,3238.37,19430.22
2025-02-21,Monitor,Eletronicos,Centro-Oeste,Carla,1,924.83,924.83
2025-02-21,Notebook,Eletronicos,Norte,Ana,2,3318.47,6636.94
2025-02-22,Cadeira,Moveis,Sudeste,Diego,6,651.77,3910.62
2025-02-22,Teclado,Acessorios,Sudeste,Carla,6,151.36,908.16
2025-02-22,Mouse,Acessorios,Sudeste,Carla,2,75.66,151.32
2025-02-24,Headset,Acessorios,Centro-Oeste,Bruno,1,237.2,237.2
2025-02-24,Headset,Acessorios,Sudeste,Elaine,3,265.31,795.93
2025-02-26,Teclado,Acessorios,Nordeste,Bruno,7,151.46,1060.22
2025-02-28,Mouse,Acessorios,Nordeste,Elaine,6,77.6,465.6
2025-03-01,Teclado,Acessorios,Sul,Elaine,8,144.84,1158.72
2025-03-01,Headset,Acessorios,Sul,Carla,2,271.03,542.06
2025-03-02,Cadeira,Moveis,Norte,Diego,4,641.93,2567.72
2025-03-03,Webcam,Acessorios,Sul,Bruno,8,215.98,1727.84
2025-03-04,Mouse,Acessorios,Nordeste,Diego,8,77.11,616.88
2025-03-06,Headset,Acessorios,Nordeste,Ana,2,266.17,532.34
2025-03-07,Webcam,Acessorios,Norte,Elaine,6,198.63,1191.78
2025-03-08,Notebook,Eletronicos,Norte,Carla,3,3344.09,10032.27
2025-03-09,Teclado,Acessorios,Sudeste,Carla,1,138.3,138.3
2025-03-09,Notebook,Eletronicos,Centro-Oeste,Elaine,6,3840.82,23044.92
2025-03-10,Cadeira,Moveis,Nordeste,Ana,2,760.45,1520.9
2025-03-11,Cadeira,Moveis,Centro-Oeste,Ana,2,763.34,1526.68
2025-03-12,Mesa,Moveis,Sul,Bruno,2,485.37,970.74
2025-03-12,Notebook,Eletronicos,Sul,Ana,7,3685.04,25795.28
2025-03-13,Cadeira,Moveis,Sudeste,Ana,2,720.89,1441.78
2025-03-13,Monitor,Eletronicos,Sul,Diego,4,831.85,3327.4
2025-03-13,Monitor,Eletronicos,Sudeste,Elaine,2,825.6,1651.2
2025-03-16,Cadeira,Moveis,Sul,Elaine,7,680.18,4761.26
2025-03-16,Mouse,Acessorios,Sul,Ana,6,85.43,512.58
2025-03-16,Mesa,Moveis,Sudeste,Carla,4,442.25,1769.0
2025-03-17,Teclado,Acessorios,Sul,Ana,7,150.73,1055.11
2025-03-18,Mesa,Moveis,Nordeste,Diego,7,467.67,3273.69
2025-03-19,Headset,Acessorios,Sul,Elaine,1,249.59,249.59
2025-03-20,Monitor,Eletronicos,Centro-Oeste,Elaine,8,982.32,7858.56
2025-03-21,Cadeira,Moveis,Centro-Oeste,Bruno,4,679.23,2716.92
2025-03-22,Mesa,Moveis,Centro-Oeste,Ana,7,415.04,2905.28
2025-03-22,Monitor,Eletronicos,Sul,Bruno,2,857.64,1715.28
2025-03-22,Mouse,Acessorios,Norte,Ana,3,86.13,258.39
2025-03-22,Cadeira,Moveis,Centro-Oeste,Diego,1,693.5,693.5
2025-03-23,Cadeira,Moveis,Centro-Oeste,Carla,1,743.32,743.32
2025-03-25,Teclado,Acessorios,Centro-Oeste,Diego,4,151.02,604.08
2025-03-25,Monitor,Eletronicos,Centro-Oeste,Carla,6,955.59,5733.54
2025-03-26,Headset,Acessorios,Centro-Oeste,Bruno,7,241.81,1692.67
2025-03-26,Mouse,Acessorios,Sul,Carla,5,80.29,401.45
2025-03-27,Mouse,Acessorios,Centro-Oeste,Diego,4,86.82,347.28
2025-03-27,Cadeira,Moveis,Centro-Oeste,Carla,7,672.91,4710.37
2025-03-28,Webcam,Acessorios,Sul,Elaine,6,186.73,1120.38
2025-03-29,Headset,Acessorios,Sul,Ana,3,253.3,759.9
2025-03-29,Teclado,Acessorios,Norte,Elaine,3,152.75,458.25
2025-03-30,Mouse,Acessorios,Norte,Bruno,4,74.34,297.36
2025-03-31,Monitor,Eletronicos,Nordeste,Ana,1,915.99,915.99
2025-03-31,Notebook,Eletronicos,Sul,Diego,7,3498.17,24487.19
2025-04-03,Webcam,Acessorios,Sul,Diego,7,181.27,1268.89
2025-04-05,Mouse,Acessorios,Sul,Diego,2,78.41,156.82
2025-04-06,Teclado,Acessorios,Sudeste,Elaine,2,136.71,273.42
2025-04-06,Mesa,Moveis,Sudeste,Elaine,7,426.65,2986.55
2025-04-06,Monitor,Eletronicos,Centro-Oeste,Elaine,1,982.89,982.89
2025-04-06,Teclado,Acessorios,Nordeste,Diego,3,149.69,449.07
2025-04-08,Mesa,Moveis,Sudeste,Diego,5,410.45,2052.25
2025-04-09,Cadeira,Moveis,Nordeste,Ana,2,665.2,1330.4
2025-04-13,Notebook,Eletronicos,Sudeste,Elaine,4,3677.96,14711.84
2025-04-15,Teclado,Acessorios,Nordeste,Ana,5,146.65,733.25
2025-04-16,Teclado,Acessorios,Sudeste,Elaine,4,153.48,613.92
2025-04-18,Mesa,Moveis,Nordeste,Ana,6,419.64,2517.84
2025-04-19,Monitor,Eletronicos,Centro-Oeste,Diego,6,974.36,5846.16
2025-04-19,Headset,Acessorios,Centro-Oeste,Carla,7,235.89,1651.23
2025-04-20,Mouse,Acessorios,Centro-Oeste,Ana,1,83.26,83.26
2025-04-22,Webcam,Acessorios,Sudeste,Elaine,5,186.19,930.95
2025-04-22,Cadeira,Moveis,Centro-Oeste,Diego,6,634.58,3807.48
2025-04-22,Notebook,Eletronicos,Norte,Ana,1,3427.16,3427.16
2025-04-23,Monitor,Eletronicos,Centro-Oeste,Elaine,7,938.88,6572.16
2025-04-23,Monitor,Eletronicos,Sul,Elaine,6,919.27,5515.62
2025-04-24,Teclado,Acessorios,Centro-Oeste,Carla,2,159.93,319.86
2025-04-25,Headset,Acessorios,Sudeste,Carla,6,274.73,1648.38
2025-04-26,Notebook,Eletronicos,Sudeste,Diego,2,3536.58,7073.16
2025-04-26,Webcam,Acessorios,Centro-Oeste,Elaine,3,218.52,655.56
2025-04-26,Monitor,Eletronicos,Nordeste,Carla,5,860.22,4301.1
2025-04-28,Mouse,Acessorios,Sudeste,Ana,1,83.33,83.33
2025-04-28,Mouse,Acessorios,Sul,Elaine,1,86.32,86.32
2025-04-29,Mesa,Moveis,Sudeste,Carla,7,409.83,2868.81
2025-05-01,Webcam,Acessorios,Nordeste,Carla,5,183.1,915.5
2025-05-02,Headset,Acessorios,Sul,Bruno,3,273.69,821.07
2025-05-04,Teclado,Acessorios,Sul,Carla,8,157.63,1261.04
2025-05-05,Teclado,Acessorios,Centro-Oeste,Diego,8,156.7,1253.6
2025-05-05,Mouse,Acessorios,Centro-Oeste,Elaine,2,78.99,157.98
2025-05-05,Mouse,Acessorios,Sudeste,Elaine,4,81.85,327.4
2025-05-06,Mouse,Acessorios,Sul,Bruno,5,72.4,362.0
2025-05-06,Monitor,Eletronicos,Centro-Oeste,Elaine,1,836.52,836.52
2025-05-06,Webcam,Acessorios,Sudeste,Diego,1,203.91,203.91
2025-05-07,Webcam,Acessorios,Norte,Elaine,3,185.71,557.13
2025-05-07,Headset,Acessorios,Sudeste,Ana,5,229.28,1146.4
2025-05-08,Headset,Acessorios,Sul,Bruno,2,261.41,522.82
2025-05-09,Webcam,Acessorios,Sul,Diego,6,211.31,1267.86
2025-05-09,Cadeira,Moveis,Sudeste,Carla,6,643.07,3858.42
2025-05-10,Notebook,Eletronicos,Nordeste,Ana,6,3468.38,20810.28
2025-05-10,Headset,Acessorios,Sudeste,Bruno,8,274.46,2195.68
2025-05-11,Mouse,Acessorios,Sudeste,Diego,4,78.16,312.64
2025-05-12,Monitor,Eletronicos,Centro-Oeste,Diego,6,899.87,5399.22
2025-05-14,Mesa,Moveis,Sul,Elaine,2,489.53,979.06
2025-05-14,Mesa,Moveis,Centro-Oeste,Bruno,1,489.22,489.22
2025-05-15,Headset,Acessorios,Nordeste,Diego,2,270.68,541.36
2025-05-20,Mouse,Acessorios,Nordeste,Elaine,3,83.88,251.64
2025-05-20,Mouse,Acessorios,Centro-Oeste,Elaine,3,76.56,229.68
2025-05-21,Teclado,Acessorios,Sudeste,Ana,3,144.07,432.21
2025-05-22,Teclado,Acessorios,Norte,Elaine,8,140.75,1126.0
2025-05-22,Teclado,Acessorios,Centro-Oeste,Carla,7,136.9,958.3
2025-05-23,Mesa,Moveis,Centro-Oeste,Bruno,4,411.38,1645.52
2025-05-23,Webcam,Acessorios,Centro-Oeste,Bruno,3,185.61,556.83
2025-05-23,Webcam,Acessorios,Centro-Oeste,Carla,7,193.07,1351.49
2025-05-27,Webcam,Acessorios,Norte,Ana,8,203.9,1631.2
2025-05-28,Mesa,Moveis,Centro-Oeste,Elaine,8,442.05,3536.4
2025-05-28,Notebook,Eletronicos,Centro-Oeste,Diego,3,3292.49,9877.47
2025-05-29,Monitor,Eletronicos,Nordeste,Ana,5,948.12,4740.6
2025-05-29,Headset,Acessorios,Sudeste,Diego,7,260.47,1823.29
2025-05-29,Monitor,Eletronicos,Centro-Oeste,Elaine,1,835.36,835.36
2025-05-29,Headset,Acessorios,Sudeste,Ana,3,264.4,793.2
2025-05-30,Mesa,Moveis,Centro-Oeste,Diego,1,482.73,482.73
2025-05-31,Webcam,Acessorios,Sul,Diego,2,211.72,423.44
2025-06-01,Cadeira,Moveis,Sul,Carla,4,767.27,3069.08
2025-06-01,Teclado,Acessorios,Nordeste,Ana,8,142.71,1141.68
2025-06-01,Teclado,Acessorios,Norte,Bruno,6,135.42,812.52
2025-06-03,Mesa,Moveis,Norte,Carla,2,461.08,922.16
2025-06-03,Headset,Acessorios,Nordeste,Elaine,3,265.77,797.31
2025-06-04,Webcam,Acessorios,Norte,Elaine,6,210.15,1260.9
2025-06-04,Headset,Acessorios,Nordeste,Diego,5,233.48,1167.4
2025-06-05,Cadeira,Moveis,Nordeste,Bruno,1,686.85,686.85
2025-06-05,Monitor,Eletronicos,Sudeste,Bruno,6,896.29,5377.74
2025-06-05,Monitor,Eletronicos,Sudeste,Diego,3,892.42,2677.26
2025-06-06,Teclado,Acessorios,Sudeste,Bruno,4,144.4,577.6
2025-06-07,Teclado,Acessorios,Nordeste,Ana,1,147.89,147.89
2025-06-07,Teclado,Acessorios,Norte,Elaine,3,137.14,411.42
2025-06-07,Headset,Acessorios,Nordeste,Carla,6,248.31,1489.86
2025-06-08,Headset,Acessorios,Nordeste,Bruno,7,251.2,1758.4
2025-06-08,Notebook,Eletronicos,Centro-Oeste,Diego,2,3396.36,6792.72
2025-06-08,Webcam,Acessorios,Centro-Oeste,Bruno,4,189.36,757.44
2025-06-09,Headset,Acessorios,Centro-Oeste,Carla,4,273.22,1092.88
2025-06-09,Mouse,Acessorios,Sudeste,Elaine,3,84.44,253.32
2025-06-10,Headset,Acessorios,Centro-Oeste,Carla,2,245.8,491.6
2025-06-10,Headset,Acessorios,Norte,Diego,2,225.94,451.88
2025-06-10,Mouse,Acessorios,Centro-Oeste,Bruno,8,75.05,600.4
2025-06-11,Headset,Acessorios,Sul,Bruno,7,242.58,1698.06
2025-06-12,Mouse,Acessorios,Centro-Oeste,Elaine,7,85.63,599.41
2025-06-12,Monitor,Eletronicos,Centro-Oeste,Carla,8,934.24,7473.92
2025-06-13,Webcam,Acessorios,Sul,Carla,8,198.64,1589.12
2025-06-13,Webcam,Acessorios,Sudeste,Carla,8,183.9,1471.2
2025-06-14,Webcam,Acessorios,Sudeste,Bruno,6,193.92,1163.52
2025-06-14,Webcam,Acessorios,Norte,Bruno,2,182.94,365.88
2025-06-15,Webcam,Acessorios,Sul,Ana,5,197.42,987.1
2025-06-15,Mesa,Moveis,Nordeste,Carla,3,452.91,1358.73
2025-06-16,Headset,Acessorios,Sul,Diego,8,241.82,1934.56
2025-06-16,Mesa,Moveis,Norte,Elaine,5,419.17,2095.85
2025-06-16,Webcam,Acessorios,Centro-Oeste,Carla,4,218.71,874.84
2025-06-17,Headset,Acessorios,Norte,Carla,3,237.41,712.23
2025-06-17,Webcam,Acessorios,Norte,Carla,3,185.96,557.88
2025-06-17,Mesa,Moveis,Norte,Ana,8,445.92,3567.36
2025-06-18,Monitor,Eletronicos,Sul,Elaine,4,956.35,3825.4
2025-06-18,Headset,Acessorios,Sul,Diego,4,239.76,959.04
2025-06-18,Mesa,Moveis,Centro-Oeste,Carla,7,480.75,3365.25
2025-06-19,Notebook,Eletronicos,Centro-Oeste,Ana,7,3544.25,24809.75
2025-06-20,Headset,Acessorios,Sudeste,Elaine,3,239.21,717.63
2025-06-20,Notebook,Eletronicos,Centro-Oeste,Elaine,3,3181.71,9545.13
2025-06-21,Cadeira,Moveis,Nordeste,Diego,2,709.51,1419.02
2025-06-23,Webcam,Acessorios,Norte,Diego,5,211.26,1056.3
2025-06-23,Teclado,Acessorios,Nordeste,Ana,5,143.2,716.0
2025-06-24,Monitor,Eletronicos,Nordeste,Elaine,5,873.87,4369.35
2025-06-24,Mesa,Moveis,Centro-Oeste,Bruno,4,432.8,1731.2
2025-06-26,Cadeira,Moveis,Nordeste,Diego,7,635.36,4447.52
2025-06-26,Headset,Acessorios,Centro-Oeste,Ana,2,238.66,477.32
2025-06-26,Headset,Acessorios,Centro-Oeste,Elaine,1,252.79,252.79
2025-06-27,Cadeira,Moveis,Centro-Oeste,Carla,2,635.89,1271.78
2025-06-29,Monitor,Eletronicos,Nordeste,Bruno,8,845.92,6767.36
2025-06-29,Mouse,Acessorios,Norte,Diego,5,87.47,437.35
2025-06-29,Mouse,Acessorios,Sul,Ana,1,79.52,79.52
2025-06-29,Monitor,Eletronicos,Sul,Bruno,6,973.07,5838.42
2025-06-30,Mesa,Moveis,Centro-Oeste,Carla,6,443.3,2659.8
2025-06-30,Headset,Acessorios,Centro-Oeste,Elaine,6,254.35,1526.1
2025-07-01,Monitor,Eletronicos,Centro-Oeste,Diego,7,826.98,5788.86
2025-07-01,Teclado,Acessorios,Nordeste,Diego,5,142.23,711.15
2025-07-01,Headset,Acessorios,Norte,Ana,2,230.16,460.32
2025-07-05,Mesa,Moveis,Nordeste,Bruno,2,448.97,897.94
2025-07-05,Monitor,Eletronicos,Centro-Oeste,Elaine,6,950.13,5700.78
2025-07-05,Notebook,Eletronicos,Norte,Carla,4,3430.41,13721.64
2025-07-06,Notebook,Eletronicos,Centro-Oeste,Ana,4,3513.94,14055.76
2025-07-06,Notebook,Eletronicos,Norte,Bruno,7,3202.53,22417.71
2025-07-07,Mouse,Acessorios,Centro-Oeste,Carla,5,78.89,394.45
2025-07-08,Monitor,Eletronicos,Sul,Elaine,5,893.71,4468.55
2025-07-08,Mouse,Acessorios,Norte,Bruno,5,82.22,411.1
2025-07-09,Notebook,Eletronicos,Nordeste,Diego,8,3573.57,28588.56
2025-07-11,Teclado,Acessorios,Sudeste,Elaine,8,135.27,1082.16
2025-07-12,Mouse,Acessorios,Centro-Oeste,Diego,4,83.94,335.76
2025-07-14,Mouse,Acessorios,Nordeste,Diego,2,85.69,171.38
2025-07-14,Webcam,Acessorios,Nordeste,Bruno,5,187.27,936.35
2025-07-15,Teclado,Acessorios,Sudeste,Diego,2,158.62,317.24
2025-07-15,Mouse,Acessorios,Norte,Elaine,6,74.02,444.12
2025-07-15,Mesa,Moveis,Sul,Bruno,3,484.29,1452.87
2025-07-17,Webcam,Acessorios,Sul,Diego,7,208.21,1457.47
2025-07-18,Teclado,Acessorios,Centro-Oeste,Carla,5,145.92,729.6
2025-07-19,Notebook,Eletronicos,Centro-Oeste,Elaine,5,3809.92,19049.6
2025-07-19,Mesa,Moveis,Centro-Oeste,Ana,1,411.09,411.09
2025-07-19,Cadeira,Moveis,Nordeste,Carla,3,651.59,1954.77
2025-07-19,Monitor,Eletronicos,Sudeste,Bruno,7,890.92,6236.44
2025-07-21,Cadeira,Moveis,Norte,Diego,2,699.63,1399.26
2025-07-21,Mouse,Acessorios,Nordeste,Carla,2,74.06,148.12
2025-07-22,Cadeira,Moveis,Nordeste,Bruno,7,670.29,4692.03
2025-07-22,Teclado,Acessorios,Sudeste,Elaine,7,140.59,984.13
2025-07-23,Notebook,Eletronicos,Sul,Ana,7,3800.22,26601.54
2025-07-23,Mouse,Acessorios,Nordeste,Carla,6,81.18,487.08
2025-07-23,Monitor,Eletronicos,Nordeste,Carla,3,896.22,2688.66
2025-07-24,Monitor,Eletronicos,Nordeste,Carla,4,814.26,3257.04
2025-07-24,Mouse,Acessorios,Centro-Oeste,Diego,7,84.79,593.53
2025-07-24,Mesa,Moveis,Sul,Carla,6,471.08,2826.48
2025-07-25,Monitor,Eletronicos,Nordeste,Ana,6,957.92,5747.52
2025-07-26,Mouse,Acessorios,Sudeste,Elaine,4,82.8,331.2
2025-07-26,Webcam,Acessorios,Norte,Carla,2,183.02,366.04
2025-07-27,Mouse,Acessorios,Norte,Carla,3,79.45,238.35
2025-07-29,Webcam,Acessorios,Sul,Ana,3,180.61,541.83
2025-07-29,Cadeira,Moveis,Centro-Oeste,Bruno,2,746.38,1492.76
2025-07-29,Headset,Acessorios,Centro-Oeste,Diego,8,273.19,2185.52
2025-07-30,Headset,Acessorios,Sul,Carla,6,226.24,1357.44
2025-07-30,Monitor,Eletronicos,Sudeste,Carla,4,912.92,3651.68
2025-07-30,Mesa,Moveis,Norte,Diego,3,470.02,1410.06
2025-07-31,Monitor,Eletronicos,Nordeste,Diego,4,887.41,3549.64
2025-08-01,Mouse,Acessorios,Sul,Bruno,6,86.55,519.3
2025-08-02,Notebook,Eletronicos,Sul,Ana,3,3789.26,11367.78
2025-08-03,Cadeira,Moveis,Norte,Diego,4,647.06,2588.24
2025-08-03,Mesa,Moveis,Norte,Bruno,7,467.41,3271.87
2025-08-05,Cadeira,Moveis,Centro-Oeste,Ana,3,663.88,1991.64
2025-08-05,Cadeira,Moveis,Centro-Oeste,Ana,7,718.0,5026.0
2025-08-07,Teclado,Acessorios,Norte,Carla,7,153.33,1073.31
2025-08-08,Monitor,Eletronicos,Sudeste,Elaine,5,939.34,4696.7
2025-08-09,Mouse,Acessorios,Centro-Oeste,Elaine,3,74.12,222.36
2025-08-10,Mouse,Acessorios,Sudeste,Carla,2,85.31,170.62
2025-08-10,Teclado,Acessorios,Norte,Ana,3,158.03,474.09
2025-08-10,Webcam,Acessorios,Sul,Elaine,7,189.13,1323.91
2025-08-12,Monitor,Eletronicos,Centro-Oeste,Ana,5,897.88,4489.4
2025-08-13,Cadeira,Moveis,Sudeste,Elaine,8,700.07,5600.56
2025-08-13,Teclado,Acessorios,Sudeste,Diego,3,140.43,421.29
2025-08-14,Notebook,Eletronicos,Centro-Oeste,Ana,3,3236.97,9710.91
2025-08-16,Mesa,Moveis,Norte,Carla,4,465.87,1863.48
2025-08-16,Mouse,Acessorios,Nordeste,Carla,5,73.46,367.3
2025-08-18,Mesa,Moveis,Centro-Oeste,Diego,7,494.36,3460.52
2025-08-19,Webcam,Acessorios,Nordeste,Bruno,8,215.89,1727.12
2025-08-19,Monitor,Eletronicos,Centro-Oeste,Carla,7,949.62,6647.34
2025-08-19,Mouse,Acessorios,Norte,Diego,7,74.5,521.5
2025-08-19,Headset,Acessorios,Norte,Bruno,1,248.14,248.14
2025-08-20,Mesa,Moveis,Norte,Bruno,2,451.19,902.38
2025-08-20,Mouse,Acessorios,Sul,Diego,2,74.17,148.34
2025-08-21,Notebook,Eletronicos,Nordeste,Diego,5,3839.72,19198.6
2025-08-22,Mesa,Moveis,Nordeste,Bruno,7,454.67,3182.69
2025-08-23,Cadeira,Moveis,Nordeste,Ana,5,685.41,3427.05
2025-08-23,Notebook,Eletronicos,Sudeste,Ana,5,3659.07,18295.35
2025-08-23,Teclado,Acessorios,Sudeste,Carla,4,145.97,583.88
2025-08-24,Monitor,Eletronicos,Nordeste,Ana,5,893.01,4465.05
2025-08-24,Headset,Acessorios,Norte,Carla,3,240.69,722.07
2025-08-24,Headset,Acessorios,Nordeste,Bruno,4,266.17,1064.68
2025-08-24,Mouse,Acessorios,Norte,Bruno,7,77.97,545.79
2025-08-25,Mesa,Moveis,Nordeste,Diego,8,466.05,3728.4
2025-08-25,Teclado,Acessorios,Sul,Diego,7,144.93,1014.51
2025-08-26,Cadeira,Moveis,Norte,Elaine,4,753.43,3013.72
2025-08-26,Mouse,Acessorios,Norte,Elaine,8,74.83,598.64
2025-08-26,Notebook,Eletronicos,Norte,Diego,5,3679.33,18396.65
2025-08-26,Monitor,Eletronicos,Norte,Elaine,7,890.24,6231.68
2025-08-27,Headset,Acessorios,Centro-Oeste,Diego,6,264.29,1585.74
2025-08-28,Notebook,Eletronicos,Norte,Bruno,6,3402.63,20415.78
2025-08-29,Notebook,Eletronicos,Norte,Diego,3,3684.18,11052.54
2025-08-30,Cadeira,Moveis,Sul,Diego,8,688.17,5505.36
2025-08-30,Headset,Acessorios,Sudeste,Ana,3,243.27,729.81
2025-08-31,Monitor,Eletronicos,Norte,Elaine,6,865.12,5190.72
2025-09-01,Webcam,Acessorios,Sudeste,Carla,5,208.35,1041.75
2025-09-02,Teclado,Acessorios,Sudeste,Ana,5,163.96,819.8
2025-09-02,Headset,Acessorios,Sul,Carla,8,257.64,2061.12
2025-09-03,Notebook,Eletronicos,Centro-Oeste,Carla,8,3551.84,28414.72
2025-09-03,Mouse,Acessorios,Norte,Diego,7,73.05,511.35
2025-09-03,Monitor,Eletronicos,Sul,Elaine,2,983.17,1966.34
2025-09-05,Cadeira,Moveis,Sudeste,Bruno,7,657.89,4605.23
2025-09-05,Cadeira,Moveis,Sul,Diego,5,719.87,3599.35
2025-09-05,Teclado,Acessorios,Sudeste,Carla,1,145.35,145.35
2025-09-06,Mouse,Acessorios,Norte,Diego,7,76.35,534.45
2025-09-06,Notebook,Eletronicos,Sul,Bruno,1,3755.87,3755.87
2025-09-08,Mesa,Moveis,Sudeste,Diego,7,406.14,2842.98
2025-09-08,Teclado,Acessorios,Norte,Diego,2,161.56,323.12
2025-09-12,Headset,Acessorios,Norte,Bruno,4,255.99,1023.96
2025-09-13,Mouse,Acessorios,Nordeste,Elaine,3,82.36,247.08
2025-09-13,Webcam,Acessorios,Norte,Ana,4,195.44,781.76
2025-09-14,Headset,Acessorios,Norte,Diego,7,259.53,1816.71
2025-09-15,Notebook,Eletronicos,Nordeste,Bruno,7,3440.43,24083.01
2025-09-16,Notebook,Eletronicos,Norte,Ana,4,3215.59,12862.36
2025-09-16,Mesa,Moveis,Sul,Ana,2,493.41,986.82
2025-09-16,Webcam,Acessorios,Centro-Oeste,Carla,3,215.57,646.71
2025-09-17,Cadeira,Moveis,Sudeste,Carla,3,766.06,2298.18
2025-09-18,Monitor,Eletronicos,Centro-Oeste,Ana,3,989.52,2968.56
2025-09-18,Mouse,Acessorios,Nordeste,Ana,7,82.34,576.38
2025-09-19,Mesa,Moveis,Sudeste,Elaine,2,475.12,950.24
2025-09-19,Notebook,Eletronicos,Norte,Elaine,4,3219.02,12876.08
2025-09-21,Monitor,Eletronicos,Centro-Oeste,Diego,8,947.36,7578.88
